ingredient_name,aliases,category,benefits
神经酰胺,"Ceramide,ceramides,分子钉",保湿修护,"保湿,修护屏障"
玻尿酸,"Hyaluronic Acid,HA,透明质酸钠",保湿,"保湿,锁水"
烟酰胺,"Niacinamide,VB3,维生素B3",美白控油,"美白,控油,收毛孔"
水杨酸,"Salicylic Acid,BHA,β羟基酸",去角质,"祛痘,去黑头,去角质"
壬二酸,"Azelaic Acid,杜鹃花酸",祛痘美白,"祛痘,美白,抗炎"
A醇,"Retinol,视黄醇,维A醇",抗老,"抗老,去细纹,促进更新"
VC,"Vitamin C,抗坏血酸,维生素C",美白抗氧化,"美白,抗氧化,提亮"
角鲨烷,"Squalane,squalene",保湿,"保湿,修护,抗氧化"
积雪草,"Centella Asiatica,老虎草,雷公根",舒缓修护,"舒缓,修护,抗炎"
胶原蛋白,"Collagen,collagen peptide",抗老,"抗老,紧致,弹性"
果酸,"AHA,α羟基酸,甘醇酸",去角质,"去角质,提亮,细腻"
杏仁酸,"Mandelic Acid,扁桃酸",温和去角质,"温和去角质,美白,祛痘"
熊果苷,"Arbutin,α熊果苷,β熊果苷",美白,"美白,淡斑,提亮"
曲酸,"Kojic Acid,麴酸",美白,"美白,淡斑,抗氧化"
传明酸,"Tranexamic Acid,氨甲环酸",美白,"美白,淡斑,抗炎"
二裂酵母,"Bifida Ferment Lysate,双歧杆菌",修护,"修护,抗老,增强免疫"
寡肽,"Oligopeptide,寡胜肽",抗老修护,"抗老,修护,紧致"
胜肽,"Peptide,多肽",抗老,"抗老,紧致,促进胶原"
腺苷,"Adenosine,腺嘌呤核苷",抗老,"抗老,去细纹,紧致"
咖啡因,"Caffeine,咖啡碱",消肿,"消肿,紧致,抗氧化"
尿囊素,"Allantoin,尿囊素",舒缓修护,"舒缓,修护,保湿"
泛醇,"Panthenol,维生素B5,泛酰醇",舒缓保湿,"舒缓,保湿,修护"
生育酚,"Tocopherol,维生素E,VE",抗氧化,"抗氧化,保湿,修护"
白藜芦醇,"Resveratrol,白黎芦醇",抗氧化,"抗氧化,抗老,美白"
辅酶Q10,"Coenzyme Q10,CoQ10,泛醌",抗氧化抗老,"抗氧化,抗老,紧致"
甘草酸,"Glycyrrhizic Acid,甘草酸二钾",舒缓,"舒缓,抗炎,美白"
马齿苋,"Portulaca Oleracea,马齿苋提取物",舒缓,"舒缓,抗炎,修护"
洋甘菊,"Chamomile,洋甘菊提取物",舒缓,"舒缓,抗炎,保湿"
绿茶,"Green Tea,绿茶提取物,茶多酚",抗氧化,"抗氧化,舒缓,控油"
芦荟,"Aloe Vera,芦荟提取物",舒缓保湿,"舒缓,保湿,修护"
